height,weight
178.412,60.695
173.396,60.059
180.928,59.207
175.508,52.35
163.568,56.079
180.583,58.049
173.275,61.592
167.43,52.832
171.29,57.451
187.709,68.58
177.753,59.072
176.577,61.702
165.568,51.37
172.742,56.774
173.58,57.796
165.568,48.542
173.386,52.756
174.164,60.63
163.822,51.139
174.525,59.233
174.984,62.404
176.632,56.808
171.195,62.725
168.847,54.731
167.671,63.49
184.009,61.943
162.881,48.07
180.292,72.007
171.453,49.28
182.918,62.865
165.891,52.509
170.371,66.27
163.554,49.774
176.2,62.99
173.683,54.315
165.888,58.123
170.528,57.641
173.722,52.199
168.381,56.533
170.654,57.509
167.619,50.406
176.362,55.542
172.656,56.266
172.114,56.464
165.808,54.141
187.537,63.102
169.705,47.486
169.911,55.738
166.969,53.858
167.596,55.037
169.123,54.02
170.467,61.166
167.322,52.651
169.623,49.455
174.589,56.273
168.216,63.948
167.538,58.505
174.203,57.925
169.147,54.779
170.093,57.824
172.924,45.966
178.283,65.682
166.425,50.261
171.346,60.187
171.221,66.291
176.94,65.952
167.127,54.742
167.908,52.449
173.329,58.121
172.781,57.745
181.332,57.928
166.958,55.039
168.741,51.06
177.833,61.156
176.483,58.292
174.314,56.356
173.641,63.432
173.711,53.236
174.686,65.175
177.606,63.95
181.751,70.641
173.857,60.706
169.454,58.934
169.378,48.121
172.56,50.758
175.002,61.693
170.921,59.45
176.713,59.489
171.894,54.145
175.366,52.999
172.638,62.752
167.233,49.672
167.063,58.961
180.698,62.111
172.29,51.533
165.276,52.083
177.057,57.855
177.622,55.265
167.934,53.436
174.279,57.854
175.254,53.437
169.651,56.695
172.78,63.919
176.968,65.903
182.427,52.577
184.777,61.493
170.89,60.215
171.222,52.395
174.07,51.786
173.917,67.475
174.037,64.411
161.862,60.749
171.97,64.277
176.457,62.851
169.423,60.905
165.687,53.009
177.533,52.401
177.369,61.06
166.111,54.62
173.538,54.398
167.485,38.215
178.049,62.94
167.78,65.017
173.316,55.78
165.653,52.333
175.671,54.806
171.706,54.653
170.907,56.188
169.782,53.102
172.93,57.966
169.088,52.889
178.231,55.264
172.342,56.17
169.223,49.311
161.768,47.41
172.81,59.908
170.03,57.614
168.308,56.68
179.654,60.395
179.599,55.418
186.103,59.009
162.027,52.885
172.316,57.012
172.163,45.584
170.787,53.678
169.563,62.118
175.339,53.771
174.057,56.246
164.222,56.6
165.463,57.254
169.523,55.051
170.178,60.383
178.476,57.715
171.645,56.661
168.417,46.574
175.024,60.802
166.638,45.742
172.725,66.088
177.64,70.353
178.171,62.839
169.326,52.666
176.293,54.636
169.687,51.827
171.959,60.403
175.601,42.016
171.546,59.697
167.079,53.629
168.295,59.409
171.172,58.982
164.956,58.52
175.913,64.844
175.457,62.845
176.896,59.322
175.456,56.309
172.753,61.323
174.896,56.262
160.507,50.391
166.563,58.62
175.567,57.868
177.261,54.963
171.404,53.553
175.484,55.875
174.124,68.816
173.262,52.236
170.437,55.44
180.941,58.542
175.563,62.642
166.366,65.258
169.131,54.744
172.716,51.326
184.347,67.643
172.659,59.179
169.224,55.441
170.931,60.642
167.537,61.08
169.012,62.44
172.916,51.045
167.216,54.902
175.863,52.062
164.323,50
175.803,57.093
170.607,53.771
172.331,54.048
175.956,68.285
172.48,54.865
170.373,53.638
177.839,64.67
177.939,65.971
180.003,57.686
167.789,52.533
165.703,47.313
174.603,62.736
176.579,65.914
178.581,56.356
170.942,56.257
171.719,57.153
172.353,62.882
168.822,55.063
175.059,51.758
173.911,58.619
176.579,62.314
178.408,60.928
172.356,57.853
172.731,52.399
170.535,59.611
172.972,57.796
175.237,56.952
176.088,54.355
178.036,63.813
174.607,62.023
163.033,53.67
167.87,58.687
175.88,68.888
176.949,54.752
173.805,61.655
173.447,58.918
176.217,59.694
173.617,63.139
183.705,76.208
178.744,57.823
166.952,59.706
168.901,55.654
179.866,63.517
171.135,64.64
172.205,62.256
173.128,57.096
174.899,65.05
171.992,55.547
164.237,49.198
166.973,45.6
173.798,52.611
174.979,63.66
173.415,56.938
175.718,60.853
184.429,61.819
167.746,57.931
175.841,55.781
174.948,52.701
168.809,56.425
176.033,56.981
171.66,48.738
176.322,64.79
171.37,53.791
168.78,53.9
174.655,59.739
161.973,54.074
175.353,57.133
168.884,57.355
169.525,51.443
171.943,52.476
169.394,59.014
170.253,56.831
167.414,53.076
177.877,62.205
175.945,67.698
177.995,68.434
164.87,53.001
177.006,62.595
171.616,57.812
162.192,54.7
181.912,65.347
165.074,47.925
164.103,54.431
157.522,49.415
165.824,57.065
171.962,49.935
179.979,60.915
173.154,52.325
171.323,56.674
180.447,52.734
172.289,60.428
170.573,49.263
173.489,60.883
166.147,59.437
174.416,59.267
177.971,57.569
175.601,54.091
170.233,47.819
166.428,60.916
178.303,60.108
171.878,57.104
177.121,57.238
171.748,64.489
179.822,56.438
176.931,55.429
169.501,55.823
171.653,59.526
165.743,56.31
179.613,58.158
181.035,61.994
169.06,53.48
172.828,55.038
173.017,54.034
180.941,57.329
169.987,58.549
180.604,61.056
176.313,66.171
175.687,73.572
174.186,58.975
176.792,59.884
175.389,57.739
173.449,56.782
175.902,61.044
173.326,55.239
171.924,56.928
174.856,66.118
176.582,54.324
170.121,50.514
182.893,62.82
171.31,61.162
167.798,52.779
166.56,56.153
173.486,62.039
180.406,69.345
179.753,57.24
171.471,65.713
176.554,61.234
168.772,49.289
174.165,50.064
170.213,62.636
174.498,54.139
173.305,52.241
178.834,59.963
166.878,42.579
166.886,57.715
173.941,60.839
169.237,56.612
169.781,56.205
177.539,60.497
171.842,60.77
173.505,59.003
177.161,62.556
174.191,57.353
173.088,59.709
172.672,59.677
164.656,53.285
175.788,57.166
175.935,57.763
180.188,64.543
175.459,63.168
168.153,49.975
180.487,59.775
175.247,58.529
180.241,56.331
167.703,57.316
177.455,67.601
169.743,64.397
175.499,57.596
169.708,55.418
170.515,51.038
164.019,60.822
174.448,54.674
171.545,52.45
180.79,58.295
179.159,61.047
181.697,53.609
169.603,48.089
168.494,57.251
164.671,51.81
173.691,59.016
172.848,55.858
175.492,55.654
177.573,56.939
173.755,50.611
173.547,56.875
170.067,54.347
179.192,60.07
176.22,60.101
171.501,53.206
164.773,46.14
175.6,58.184
174.782,60.721
171.614,57.871
173.146,57.811
167.149,63.147
164.904,51.614
173.624,66.826
169.457,60.091
175.722,60.165
167.355,47.608
167.735,57.766
176.383,59.221
170.557,58.247
166.864,55.524
176.345,71.255
169.024,54.863
175.374,66.82
171.756,53.224
176.761,59.999
173.034,53.534
180.915,56.051
168.739,59.055
168.448,55.668
172.789,48.865
173.451,53.722
169.967,56.918
182.31,67.317
167.755,68.076
175.297,57.562
174.517,58.307
165.13,53.646
167.789,56.801
180.757,67.618
171.584,48.629
174.84,60.566
173.02,56.557
172.479,51.054
171.808,57.912
177.248,60.775
172.717,62.787
176.313,57.098
178.892,58.702
171.895,60.75
172.416,48.075
172.895,57.556
170.166,55.232
181.805,68.284
163.489,52.551
172.542,56.84
177.593,59.619
177.644,58.469
169.666,58.488
178.082,67.118
175.128,47.741
172.793,50.077
176.178,53.744
173.86,55.635
166.885,56.574
176.674,61.504
167.25,52.755
174.752,56.789
175.357,60.304
171.103,62.665
178.709,56.397
177.516,61.934
165.489,52.102
176.299,60.084
174.012,64.839
166.917,61.038
162.517,55.549
177.995,69.564
173.801,57.209
173.321,61.028
172.285,60.973
168.434,53.633
177.168,54.949
166.901,59.925
169.881,62.995
170.889,50.146
179.409,69.811
177.642,56.244
167.327,60.936
184.015,62.633
177.979,67.533
171.92,57.534
167.932,53.373
177.657,67.456
173.338,58.081
174.756,58.752
169.21,56.882
178.275,58.344
166.598,56.257
174.487,68.592
164.811,48.462
177.343,65.967
168.503,55.081
178.926,59.315
177.779,61.436
178.146,56.141
170.635,59.794
173.237,53.22
172.113,58.735
164.586,55.434
168.856,51.908
170.138,52.793
166.878,63.162
169.741,55.937
168.533,60.045
178.143,64.961
178.094,60.223
163.986,44.8
173.119,55.463
170.555,47.419
180.059,64.681
173.132,59.311
180.839,65.154
172.528,64.454
165.867,48.899
168.675,47.877
181.118,56.807
175.412,48.208
167.524,53.697
176.88,61.963
180.607,66.108
168.195,58.726
167.982,49.148
172.174,54.928
169.361,61.49
177.785,62.289
180.706,56.174
174.344,58.374
175.477,60.558
172.654,48.253
167.508,51.207
167.693,57.062
180.939,63.553
171.518,64.883
180.516,66.05
173.41,58.061
170.991,60.785
175.231,63.518
173.746,66.294
170.414,59.832
169.592,55.325
166.742,59.556
165.966,58.671
173.185,56.963
179.474,69.372
167.498,56.424
176.855,61.075
173.481,52.271
177.954,53.437
173.827,56.428
175.946,60.885
171.971,58.577
180.069,60.313
179.18,66.754
181.815,70.221
173.794,57.21
176.169,60.911
178.93,60.715
171.149,58.403
171.469,55.744
174.042,50.817
169.694,50.62
183.859,67.253
174.032,61.946
179.827,60.343
168.196,52.949
173.512,56.559
170.616,55.076
172.139,55.808
171.382,62.118
172.148,55.037
175.771,68.376
177.909,64.462
179.247,61.043
168.793,60.502
171.911,61.649
167.021,43.127
176.161,54.242
179.299,69.27
170.882,63.51
173.961,65.798
170.236,54.127
167.071,55.951
167.553,50.136
173.199,50.507
183.098,63.187
169.808,60.289
175.538,60.484
164.061,51.085
170.278,56.533
175.239,55.91
179.321,64.368
178.028,52.675
166.838,59.4
170.429,59.456
167.74,57.641
175.931,55.471
169.198,52.205
173.018,57.51
177.116,64.98
162.612,56.796
168.243,49.381
184.068,63.076
168.197,46.288
181.096,65.409
160.339,37.638
180.163,65.863
173.367,61.122
164.542,61.009
166.192,50.508
175.041,54.267
165.022,43.354
168.027,53.073
167.599,57.638
175.878,65.649
173.532,55.649
178.095,60.788
174.333,56.615
172.067,61.537
164.049,54.732
164.241,56.633
167.406,60.497
167.072,56.425
170.563,61.594
183.498,65.039
174.579,59.149
171.628,57.618
178.72,63.98
161.601,48.663
168.166,55.413
168.202,50.557
177.983,62.465
176.927,64.722
168.276,51.839
172.899,58.108
170.556,60.961
174.666,63.467
173.027,55.256
166.954,50.475
175.703,61.189
178.723,60.241
179.795,53.344
180.037,61.149
169.219,68.68
177.757,58.405
169.999,54.431
181.503,56.897
176.945,57.907
176.046,61.669
169.158,52.677
163.073,57.566
173.305,56.95
178.029,54.847
180.278,55.6
164.926,54.113
169.929,60.206
175.763,60.19
173.774,56.33
168.443,59.896
183.222,64.69
166.995,58.711
177.716,58.225
165.39,51.185
171.28,55.302
168.651,53.633
170.657,58.949
171.922,50.592
172.148,64.437
161.619,55.54
168.775,55.637
182.685,53.958
172.522,63.163
172.749,64.025
172.124,54.264
175.763,61.756
170.183,53.64
170.425,62.374
177.423,58.472
171.267,55.929
173,52.29
173.468,58.859
176.407,61.588
175.469,57.899
180.131,63.013
163.082,49.474
180.602,56.451
183.096,61.708
168.024,54.574
171.524,52.623
170.627,52.326
185.241,64.324
166.474,61.376
175.476,61.214
165.836,49.037
174.078,56.683
181.173,64.731
169.878,58.119
172.496,58.105
170.186,46.916
173.421,70.716
168.155,47.55
163.175,55.101
171.291,59.799
163.832,53.639
174.996,61.332
178.636,63.72
163.366,50.587
170.466,57.999
172.751,59.105
173.362,58.08
172.133,64.698
171.305,55.755
166.969,53.398
176.895,59.31
182.698,58.516
176.262,65.494
170.554,52.486
175.633,52.789
169.941,64.324
172.309,59.855
172.964,61.273
167.998,57.562
180.756,58.819
171.596,60.931
177.832,54.976
184.313,64.846
169.17,56.523
174.036,54.43
168.52,63.156
175.328,59.648
175.576,59.375
173.344,58.841
173.957,55.875
179.534,62.302
178.714,62.011
171.765,53.636
176.394,52.659
172.529,56.554
173.719,54.804
168.448,47.62
180.921,65.883
165.841,49.011
167.647,59.061
171.749,53.235
175.521,61.552
175.253,57.763
175.451,68.584
173.586,50.953
182.072,71.01
174.693,62.609
168.102,49.635
183.822,63.408
169.803,56.438
167.022,59.118
177.019,68.438
168.349,49.274
168.853,48.015
174.547,64.974
173.463,51.979
171.874,56.069
181.099,63.183
170.367,52.467
179.528,66.395
181.359,69.762
180.35,62.328
168.351,57.046
172.857,63.281
162.975,57.24
169.874,51.611
179.145,58.782
166.258,52.635
175.548,63.026
172.573,57.523
170.722,57.003
171.798,51.426
178.038,55.826
163.61,55.744
177.234,58.044
169.118,57.955
173.101,50.042
168.101,57.955
169.657,53.53
170.601,58.765
172.768,59.166
170.074,47.584
174.508,55.551
176.989,62.662
168.981,48.805
168.833,64.073
181.474,69.625
169.231,60.953
162.586,49.676
165.184,53.093
169.601,56.301
175.055,56.724
180.922,60.351
180.602,55.54
177.31,61.094
170.412,50.487
170.89,52.931
182.539,64.848
170.693,45.265
173.84,57.949
170.695,61.906
176.189,65.864
175.366,57.387
167.4,58.074
168.777,55.643
167.843,60.365
176.158,52.893
179.917,65.253
171.867,60.029
165.887,56.164
169.337,51.253
170.009,56.15
172.058,60.692
163.264,58.053
169.759,54.943
167.379,55.588
171.847,56.812
174.472,56.569
167.843,52.815
169.96,58.84
176.489,56.122
174.244,62.359
175.799,59.289
171.789,64.313
166.964,56.957
167.893,47.298
171.838,53.032
171.694,59.69
176.73,56.84
167.866,58.697
178.004,58.938
165.124,59.765
175.678,64.536
176.816,57.822
181.569,69.452
176.464,57.423
175.267,51.654
176.678,60.688
174.339,57.797
170.695,57.298
167.833,54.707
168.106,57.371
179.852,60.283
170.581,57.062
165.855,54.958
175.857,58.791
175.026,58.915
183.763,55.9
173.471,62.187
173.602,57.873
171.36,60.559
174.925,51.609
169.227,61.434
164.521,55.538
171.974,53.883
185.4,60.824
180.218,56.296
172.61,59.206
170.712,56.48
168.579,58.475
171.803,55.241
177.151,57.2
173.165,60.979
169.919,59.727
171.441,46.923
168.95,52.726
169.884,55.95
177.108,68.104
177.25,61.265
166.117,50.944
172.716,62.281
183.53,60.154
179.821,57.091
165.577,64.036
171.989,61.566
177.931,61.003
170.955,55.277
168.651,58.143
177.13,59.178
174.54,59.668
162.266,49.202
173.758,51.899
172.549,60.482
179.57,61.546
175.135,67.094
168.896,55.954
174.228,54.741
168.312,52.669
176.75,56.126
171.086,54.052
177.006,54.093
173.839,56.441
173.939,59.289
166.255,53.547
169.694,49.665
177.932,63.524
171.286,55.074
169.019,44.531
171.002,53.281
172.65,61.839
175.358,67.488
171.944,56.157
176.035,60.519
166.107,53.107
173.625,55.988
166.037,53.349
173.647,62.166
180.739,58.527
175.909,64.509
169.414,58.203
175.706,52.231
173.522,54.147
172.253,55.14
174.146,64.708
168.226,49.883
175.136,55.309
172.384,56.543
172.86,54.051
172.059,60.003
177.384,60.263
179.542,72.88
163.941,53.965
172.545,62.748
172.143,56.545
176.309,61.596
172.141,52.65
172.211,63.058
172.677,62.506
177.749,65.462
162.135,49.465
166.553,57.634
176.131,56.422
170.901,52.061
174.608,60.024
175.339,56.801
176.896,58.21
169.419,53.333
172.502,51.168
163.496,57.161
167.323,53.813
170.369,56.824
176.137,56.6
177.374,65.918
167.9,52.903
175.926,60.032
173.572,52.047
176.226,55.655
175.587,59.152
173.854,53.955
168.517,60.621
177.883,58.246
178.22,62.975
173.185,45.883
178.114,63.854
173.811,60.98
168.757,58.867
182.187,62.996
179.639,61.245
172.949,58.746
178.13,58.5
167.777,58.439
177.217,51.069
173.122,57.129
177.581,53.623
165.975,55.707
173.625,59.056
163.845,51.744
172.605,52.451
174.184,62.493
173.031,50.846
174.691,62.168
172.532,56.599
175.637,61.199
160.542,51.832
175.88,55.349
167.352,58.607
172.344,58.865
166.558,63.626
169.439,54.767
175.697,58.509
175.859,62.124
171.634,65.785
176.543,63.463
179.331,56.226
169.015,61.466
175.552,57.873
177.676,65.254
171.967,59.766
175.743,61.393
172.224,68.565
171.768,56.492
178.737,61.279
180.406,61.852
177.407,62.459
170.399,51.736
174.295,64.138
163.507,50.327
167.475,57.253
165.717,60.198
179.108,65.59
169.193,49.099
170.52,56.233
169.612,58.639
171.942,59.494
172.283,50.573
169.247,50.574
171.761,63.564
176.957,56.864
159.386,51.864
163.929,51.641
172.769,53.088
168.619,62.657
178.276,55.434
164.201,60.223
171.42,56.192
182.926,65.304
169.198,52.303
167.178,52.783
180.751,63.245
174.04,60.356
165.001,54.371
169.882,55.769
178.697,60.179
172.002,54.784
167.725,58.786
175.216,62.021
174.25,59.398
169.776,60.468
172.813,61.783
164.581,59.55
179.2,57.168
173.435,52.116
174.69,59.034
170.417,59.658
178.163,61.45
166.29,54.497
175.318,58.502
188.592,68.048
162.778,54.454
171.653,59.865
175.753,59.852
163.795,54.135
174.648,61.954
173.868,66.946
168.763,65.956
178.246,56.61
170.532,57.94
169.965,57.039
174.329,49.686
170.071,48.821
177.733,60.752
169.991,61.11
174.659,63.255
171.214,57.543
166.995,61.052
167.344,45.287
169.612,58.642
170.084,58.6
161.205,46.958
173.615,52.427
163.656,47.514
161.345,59.345
169.829,58.469
166.463,46.455
182.431,60.351
174.918,66.274
179.812,63.788
175.314,60.005
171.076,53.836
168.477,60.453
172.105,61.102
174.366,58.745
173.197,61.94
181.711,60.701
174.218,58.044
181.203,59.002
170.656,59.023
171.959,58.129
162.891,60.725
177.548,63.683
169.47,52.183
176.157,61.538
177.058,64.711
172.053,64.821
173.149,52.073
182.745,67.69
171.132,59.821
165.965,57.539
166.72,46.823
175.046,56.771
166.232,59.181
173.018,56.338
176.588,63.693
176.281,56.276
177.82,60.233
174.239,58.984
164.503,48.301
171.521,49.372
169.468,49.806
172.588,56.336
175.506,59.57
177.92,62.254
172.519,52.558
172.698,53.411
175.057,52.877
169.549,52.305
172.902,58.878
174.649,67.457
180.163,57.115
173.479,52.319
175.903,71.929
173.719,63.966
173.939,58.817
176.461,62.092
168.478,55.829
169.892,53.438
165.61,46.432
173.667,59.177
170.449,65.514
159.112,45.39
175.435,54.493
180.739,65.373
175.09,52.041
172.991,64.114
163.722,51.957
167.557,55.112
174.575,54.054
179.161,61.248
171.214,52.521
167.927,55.822
176.465,60.277
180.225,61.764
166.541,56.235
166.351,52.681
174.989,60.325
171.698,62.487
168.078,60.393
174.507,51.743
166.31,62.356
172.024,59.586
177.856,62.162
177.092,61.215
172.49,51.608
166.657,60.062
181.372,60.51
168.347,48.371
165.17,43.119
166.851,51.763
169.818,57.296
173.304,57.399
167.946,50.242
181.168,59.963
178.327,60.574
180.432,65.238
173.191,58.849
175.24,48.276
172.612,55.24
176.529,53.528
170.498,48.323
172.102,58.185
171.906,57.739
164.388,46.627
177.111,57.907
173.996,63.323
179.234,60.376
169.131,54.494
162.057,46.389
168.626,60.795
169.645,55.031
170.155,49.041
184.455,66.069
172.227,52.061
174.343,56.478
167.178,51.469
169.102,57.198
168.658,56.189
169.57,54.611
175.323,56.364
178.433,58.968
178.265,62.185
171.793,57.488
168.746,53.585
171.464,54.216
173.217,60.852
168.46,54.376
178.655,63.543
172.661,63.149
167.829,47.614
172.723,63.569
166.332,63.315
170.168,53.676
177.529,55.189
172.802,59.048
177.825,62.614
169.96,54.353
181.435,64.112
163.637,58.018
174.327,55.567
178.176,61.42
177.664,71.936
168.677,46.748
165.79,55.689
170.251,54.062
168.486,63.226
177.935,56.224
181.593,60.044
170.483,52.58
184.204,73.782
174.243,59.406
169.474,56.568
173.562,56.053
168.981,53.912
177.313,61.364
178.279,63.264
171.974,54.516
169.508,51.207
173.675,52.393
173.076,58.269
165.945,43.725
173.422,55.569
175.711,58.617
168.857,58.366
168.344,60.288
172.217,58.947
184.572,62.927
179.378,62.933
171.326,47.977
174.039,61.354
183.029,66.733
164.375,49.27
168.886,58.42
182.664,66.947
173.683,58.243
176.383,57.725
166.822,58.397
172.668,55.883
173.195,55.289
172.638,72.328
171.943,55.04
169.817,56.339
174.001,59.144
168.831,53.353
179.162,66.658
174.248,58.279
170.528,52.405
162.117,47.158
171.181,55.466
181.135,56.45
172.669,45.485
172.221,59.707
180.482,61.045
179.523,67.294
176.415,68.559
172.095,54.996
168.599,60.119
169.949,53.51
171.095,54.547
177.89,64.075
188.455,58.464
173.842,58.578
174.916,67.303
168.704,50.881
174.199,58.932
175.299,55.797
162.884,45.01
184.374,63.031
176.628,59.786
176.079,57.849
170.843,61.991
174.775,57.301
167.217,50.367
175.632,58.222
169.581,55.783
172.996,64.042
168.976,57.539
169.476,53.477
169.338,52.255
167.991,62.028
172.826,57.336
171.121,58.535
173.683,64.403
174.352,61.87
170.347,55.249
176.002,66.548
177.74,64.624
173.651,63.524
173.248,49.757
171.065,61.106
167.421,57.806
171.135,49.364
179.765,62.708
185.031,68.607
164.988,58.892
174.435,51.23
174.588,58.503
171.03,60.336
169.386,56.564
167.263,55.031
179.872,62.452
165.343,57.002
179.373,61.304
172.619,48.649
179.548,65.319
168.506,45.571
182.832,58.968
178.24,63.827
179.405,65.084
164.782,40.903
176.846,59.078
165.542,56.116
175.504,69.796
182.422,62.285
174.399,64.243
170.635,57.459
172.727,59.775
179.759,54.804
174.817,54.261
177.916,57.869
175.142,60.814
163.61,49.161
162.124,56.653
173.624,55.728
175.908,58.838
186.388,70.132
176.179,68.822
179.628,61.471
171.681,57.624
180.306,62.458
172.055,56.388
180.607,70.034
182.778,60.734
166.984,53.211
166.734,58.143
173.661,53.501
179.088,57.904
168.739,58.851
169.171,59.489
172.808,58.054
177.378,55.644
173.28,65.045
172.162,48.275
170.661,56.6
168.072,51.495
167.603,47.791
178.751,56.797
170.136,54.367
175.441,61.178
163.57,50.759
178.563,57.37
173.906,57.412
172.905,62.824
176.918,64.936
172.342,56.478
174.782,54.005
174.958,58.671
181.08,63.97
164.943,56.593
163.566,53.315
171.734,58.037
166.025,56.855
174.173,63.38
176.861,60.048
164.241,58.674
180.797,63.144
166.868,55.136
167.775,55.611
170.305,53.183
173.801,61.569
174.099,56.099
167.525,46.59
170.061,54.056
164.889,47.306
169.15,58.545
173.17,62.618
176.715,62.807
182.013,59.077
165.272,56.368
169.812,57.939
172.323,56.747
175.84,54.889
177.169,58.049
171.419,55.037
173.037,58.607
173.995,57.747
171.455,51.253
174.841,60.059
166.139,50.09
173.512,63.055
174.712,58.327
166.115,60.236
169.555,56.632
166.052,43.401
179.452,69.268
180.28,54.911
169.568,57.734
168.322,54.485
171.048,57.755
171.173,50.295
180.446,69.556
161.904,50.256
169.976,54.857
167.258,55.949
170.275,52.712
172.535,61.127
169.488,51.572
168.521,51.213
168.987,57.789
174.268,56.693
167.925,52.299
170.209,62.94
178.962,60.381
165.932,59.12
170.897,51.759
178.754,62.34
172.837,51.878
178.736,63.188
173.687,56.487
172.183,58.91
177.239,64.227
176.774,56.831
172.671,53.988
167.24,48.487
170.161,56.788
161.411,52.438
181.634,58.346
177.65,58.607
180.874,65.985
181.77,55.994
165.891,56.456
165.57,55.603
165.742,54.491
171.364,58.269
170.877,50.522
165.033,53.338
164.101,49.587
177.129,60.222
172.148,56.257
176.035,61.975
181.314,64.865
166.647,53.137
168.225,59.26
168.994,62.261
171.492,58.423
172.017,51.933
174.171,62.726
168.245,55.805
172.093,55.263
173.439,67.668
173.74,62.156
167.88,62.815
177.89,53.83
166.287,52.879
168.826,59.6
172.352,58.698
178.73,59.567
172.961,56.715
177.959,59.727
171.848,54.826
175.476,55.206
173.76,67.004
175.589,59.176
172.646,63.409
171.778,57.373
169.683,52.91
174.178,59.991
171.333,59.184
174.337,60.084
167.446,56.396
179.573,58.727
172.958,59.477
176.543,54.987
170.28,52.93
175.383,64.976
179.484,63.465
172.582,57.6
174.022,52.731
174.785,65.954
170.563,61.636
173.593,57.18
171.159,59.339
164.811,59.665
166.456,56.707
176.255,66.612
168.831,49.536
160.672,54.703
171.743,50.952
177.497,62.719
178.199,61.934
179.352,61.615
181.317,67.366
169.006,54.563
180.491,60.495
171.804,63.442
162.164,58.441
169.654,54.855
174.271,56.928
178.841,53.304
165.618,60.683
175.476,55.252
173.474,61.325
167.229,50.567
170.645,53.141
172.404,59.683
171.492,59.049
172.69,56.51
178.66,57.779
170.935,53.713
167.53,53.787
165.819,53.109
182.525,57.752
170.995,58.419
174.054,66.91
177.156,59.868
167.029,58.737
170.843,64.59
171.683,55.808
166.489,51.922
179.267,60.778
164.937,58.617
177.437,60.285
179.88,58.923
173.485,63.096
171.573,59.593
182.619,61.303
174.8,59.147
174.192,65.637
167.684,55.205
170.834,50.124
179.208,67.994
168.388,56.108
174.17,58.175
174.257,56.714
172.708,58.773
167.968,56.952
168.687,59.796
173.799,63.444
169.693,51.695
172.018,52.608
180.315,53.321
171.605,59.472
175.582,51.466
172.66,65.578
168.403,64.147
176.046,63.43
166.706,49.116
168.207,53.115
169.535,57.427
176.943,61.189
173.267,59.805
175.981,49.472
176.895,57.92
181.56,55.299
176.211,62.371
165.584,57.799
162.624,50.547
169.126,54.993
167.166,62.896
167.904,52.777
174.153,62.261
172.445,55.255
181.419,52.915
167.609,57.1
180.228,51.972
163.509,57.417
177.208,59.498
168.828,53.949
172.113,62.453
180.79,58.705
170.978,58.032
178.363,62.265
175.996,58.723
168.549,60.467
175.962,56.53
168.6,51.616
160.63,52.928
175.723,62.855
175.55,56.834
171.4,59.159
177.173,60.824
176.843,64.993
167.525,64.441
174.984,63.35
170.785,60.018
172.053,62.764
174.56,55.771
165.613,60.113
168.368,48.297
172.768,61.151
169.907,59.307
172.207,55.487
169.305,61.637
177.224,54.149
173.798,53.336
166.51,52.355
173.597,47.429
168.303,56.018
168.671,62.754
174.355,59.898
174.51,53.133
172.799,64.187
168.295,58.723
162.806,42.814
170.35,54.65
167.145,54.983
172.849,60.37
171.519,57.94
168.552,55.898
180.015,62.046
173.468,51.703
170.267,53.492
180.116,55.203
174.687,65.921
174.768,58.431
169.693,50.044
165.168,57.491
182.458,63.924
171.225,62.597
174.913,60.083
168.647,57.623
172.469,66.254
175.362,64.168
168.314,57.314
173.9,55.064
169.879,52.815
